0.0,0.002
0.01,0.005
0.02,0.017
0.03,0.028
0.04,0.036
0.05,0.047
0.06,0.058
0.07,0.066
0.08,0.077
0.09,0.089
0.1,0.096
0.11,0.108
0.12,0.117
0.13,0.127
0.14,0.138
0.15,0.146
0.16,0.157
0.17,0.168
0.18,0.176
0.19,0.187
0.2,0.199
0.21,0.206
0.22,0.218
0.23,0.229
0.24,0.236
0.25,0.248
0.26,0.255
0.27,0.267
0.28,0.278
0.29,0.286
0.3,0.297
0.31,0.308
0.32,0.326
0.33,0.327
0.34,0.338
0.35,0.346
0.36,0.358
0.37,0.365
0.38,0.377
0.39,0.388
0.4,0.396
0.41,0.407
0.42,0.418
0.43,0.426
0.44,0.437
0.45,0.448
0.46,0.456
0.47,0.467
0.48,0.475
0.49,0.486
0.5,0.497
0.51,0.505
0.52,0.516
0.53,0.527
0.54,0.535
0.55,0.546
0.56,0.557
0.57,0.565
0.58,0.576
0.59,0.583
0.6,0.594
0.61,0.605
0.62,0.612
0.63,0.623
0.64,0.633
0.65,0.641
0.66,0.651
0.67,0.661
0.68,0.668
0.69,0.678
0.7,0.684
0.71,0.693
0.72,0.702
0.73,0.708
0.74,0.716
0.75,0.723
0.76,0.728
0.77,0.734
0.78,0.74
0.79,0.743
0.8,0.746
0.81,0.748
0.82,0.75
0.83,0.75
0.84,0.75
0.85,0.747
0.86,0.743
0.87,0.739
0.88,0.733
0.89,0.724
0.9,0.718
0.91,0.706
0.92,0.698
0.93,0.683
0.94,0.667
0.95,0.655
0.96,0.637
0.97,0.617
0.98,0.602
0.99,0.58
1,0.556
1.01,0.539
1.02,0.513
1.03,0.485
1.04,0.466
1.05,0.437
1.06,0.416
1.07,0.385
1.08,0.352
1.09,0.33
1.1,0.296
1.11,0.261
1.12,0.237
1.13,0.203
1.14,0.171
1.15,0.153
1.16,0.132
1.17,0.121
1.18,0.107
1.19,0.098
1.2,0.091
1.21,0.084
1.22,0.078
1.23,0.073
1.24,0.07
1.25,0.065
1.26,0.063
1.27,0.06
1.28,0.058
1.29,0.055
1.3,0.053
1.31,0.05
1.32,0.049
1.33,0.047
1.34,0.046
1.35,0.044
1.36,0.043
1.37,0.042
1.38,0.04
1.39,0.039
1.4,0.038
1.41,0.037
1.42,0.036
1.43,0.036
1.44,0.034
1.45,0.034
1.46,0.033
1.47,0.032
1.48,0.032
1.49,0.031
1.5,0.03
1.51,0.03
1.52,0.029
1.53,0.029
1.54,0.028
1.55,0.027
1.56,0.027
1.57,0.026
1.58,0.026
1.59,0.026
1.6,0.025
1.61,0.024
1.62,0.024
1.63,0.024
1.64,0.024
1.65,0.023
1.66,0.023
1.67,0.023
1.68,0.022
1.69,0.022
1.7,0.022
1.71,0.021
1.72,0.021
1.73,0.021
1.74,0.021
1.75,0.02
1.76,0.02
1.77,0.02
1.78,0.02
1.79,0.019
1.8,0.019
