1.31,3125781754,BA4FA4FA,205,00CD
1.32,3149642684,BBBBBBBC,201,00C9
1.33,3173503613,BD27D27D,193,00C1
1.34,3197364543,BE93E93F,188,00BC
1.35,3221225472,C0000000,180,00B4
1.36,3245086401,C16C16C1,176,00B0
1.37,3268947331,C2D82D83,172,00AC
1.38,3292808260,C4444444,164,00A4
1.39,3316669190,C5B05B06,160,00A0
1.4,3340530119,C71C71C7,156,009C
1.41,3364391049,C8888889,152,0098
1.42,3388251978,C9F49F4A,147,0093
1.43,3412112907,CB60B60B,147,0093
1.44,3435973837,CCCCCCCD,139,008B
1.45,3459834766,CE38E38E,139,008B
1.46,3483695696,CFA4FA50,135,0087
1.47,3507556625,D1111111,131,0083
1.48,3531417554,D27D27D2,131,0083
1.49,3555278484,D3E93E94,127,007F
1.5,3579139413,D5555555,123,007B
1.51,3603000343,D6C16C17,123,007B
1.52,3626861272,D82D82D8,119,0077
1.53,3650722202,D999999A,119,0077
1.54,3674583131,DB05B05B,115,0073
1.55,3698444060,DC71C71C,111,006F
1.56,3722304990,DDDDDDDE,111,006F
1.57,3746165919,DF49F49F,106,006A
1.58,3770026849,E0B60B61,106,006A
1.59,3793887778,E2222222,106,006A
1.6,3817748708,E38E38E4,102,0066
1.61,3841609637,E4FA4FA5,98,0062
1.62,3865470566,E6666666,98,0062
1.63,3889331496,E7D27D28,98,0062
1.64,3913192425,E93E93E9,98,0062
1.65,3937053355,EAAAAAAB,94,005E
1.66,3960914284,EC16C16C,94,005E
1.67,3984775214,ED82D82E,94,005E
1.68,4008636143,EEEEEEEF,90,005A
1.69,4032497072,F05B05B0,90,005A
1.7,4056358002,F1C71C72,90,005A
1.71,4080218931,F3333333,86,0056
1.72,4104079861,F49F49F5,86,0056
1.73,4127940790,F60B60B6,86,0056
1.74,4151801719,F7777777,86,0056
1.75,4175662649,F8E38E39,82,0052
1.76,4199523578,FA4FA4FA,82,0052
1.77,4223384508,FBBBBBBC,82,0052
1.78,4247245437,FD27D27D,82,0052
1.79,4271106367,FE93E93F,78,004E
1.8,4294967295,FFFFFFFF,78,004E
