Time	VP	VN VAUXP[0] VAUXP0
5251800	0.0048828125	0
5253900	0.0048828125	0
5255660	0.0048828125	0
5257420	0.0048828125	0
5259180	0.0048828125	0
5260940	0.0048828125	0
5262700	0.0048828125	0
5264460	0.0048828125	0
5266220	0.0048828125	0
5267980	0.0048828125	0
5269740	0.0048828125	0
5271500	0.0048828125	0
5273260	0.0048828125	0
5275020	0.0048828125	0
5276780	0.0048828125	0
5278540	0.0048828125	0
5280300	0.0048828125	0
5282060	0.0048828125	0
5283820	0.0048828125	0
5285580	0.0048828125	0
5287340	0.0048828125	0
5289100	0.0048828125	0
5290860	0.0048828125	0
5292620	0.0048828125	0
5294380	0.0048828125	0
5296140	0.0048828125	0
5297900	0.0048828125	0
5299660	0.0048828125	0
5301420	0.0048828125	0
5303180	0.0048828125	0
5304940	0.0048828125	0
5306700	0.0048828125	0
5308460	0.0048828125	0
5310220	0.0048828125	0
5311980	0.0048828125	0
5313740	0.0048828125	0
5315500	0.0048828125	0
5317260	0.0048828125	0
5319020	0.0048828125	0
5320780	0.0048828125	0
5322540	0.0048828125	0
5324300	0.0048828125	0
5326060	0.0048828125	0
5327820	0.0048828125	0
5329580	0.0048828125	0
5331340	0.0048828125	0
5333100	0.0048828125	0
5334860	0.0048828125	0
5336620	0.0048828125	0
5338380	0.0048828125	0
5340140	0.0048828125	0
5341900	0.0048828125	0
5343660	0.0048828125	0
5345420	0.0048828125	0
5347180	0.0048828125	0
5348940	0.0048828125	0
5350700	0.0048828125	0
5352460	0.0048828125	0
5354220	0.0048828125	0
5355980	0.0048828125	0
5357740	0.0048828125	0
5359500	0.0048828125	0
5361260	0.0048828125	0
5363020	0.0048828125	0
5364780	0.0048828125	0
5366540	0.0048828125	0
5368300	0.0048828125	0
5370060	0.0048828125	0
5371820	0.0048828125	0
5373580	0.0048828125	0
5375340	0.0048828125	0
5377100	0.0048828125	0
5378860	0.0048828125	0
5380620	0.0048828125	0
5382380	0.0048828125	0
5384140	0.0048828125	0
5385900	0.0048828125	0
5387660	0.0048828125	0
5389420	0.0048828125	0
5391180	0.0048828125	0
5392940	0.0048828125	0
5394700	0.0048828125	0
5396460	0.0048828125	0
5398220	0.0048828125	0
5399980	0.0048828125	0
5401740	0.0048828125	0
5403500	0.0048828125	0
5405260	0.0048828125	0
5407020	0.0048828125	0
5408780	0.0048828125	0
5410540	0.0048828125	0
5412300	0.0048828125	0
5414060	0.0048828125	0
5415820	0.0048828125	0
5417580	0.0048828125	0
5419340	0.0048828125	0
5421100	0.0048828125	0
5422860	0.0048828125	0
5424620	0.0048828125	0
5426380	0.0048828125	0
5428140	0.22900390625	0
5429900	0.0048828125	0
5431660	0.26708984375	0
5433420	0.10791015625	0
5435180	0.447998046875	0
5436940	0.345947265625	0
5438700	0.047119140625	0
5440460	0.116943359375	0
5442220	0.278076171875	0
5443980	0.076904296875	0
5445740	0.218017578125	0
5447500	0.376953125	0
5449260	0.01708984375	0
5451020	0.198974609375	0
5452780	0.089111328125	0
5454540	0.16796875	0
5456300	0.285888671875	0
5458060	0.248046875	0
5459820	0.325927734375	0
5461580	0.387939453125	0
5463340	0.047119140625	0
5465100	0.028076171875	0
5466860	0.337890625	0
5468620	0.116943359375	0
5470380	0.426025390625	0
5472140	0.387939453125	0
5473900	0.39599609375	0
5475660	0.18701171875	0
5477420	0.39599609375	0
5479180	0.376953125	0
5480940	0.345947265625	0
5482700	0.047119140625	0
5484460	0.137939453125	0
5486220	0.076904296875	0
5487980	0.18701171875	0
5489740	0.06591796875	0
5491500	0.14599609375	0
5493260	0.198974609375	0
5495020	0.345947265625	0
5496780	0.18701171875	0
5498540	0.028076171875	0
5500300	0.076904296875	0
5502060	0.035888671875	0
5503820	0.156982421875	0
5505580	0.156982421875	0
5507340	0.10791015625	0
5509100	0.35791015625	0
5510860	0.126953125	0
5512620	0.137939453125	0
5514380	0.10791015625	0
5516140	0.30810546875	0
5517900	0.325927734375	0
5519660	0.047119140625	0
5521420	0.18701171875	0
5523180	0.218017578125	0
5524940	0.39599609375	0
5526700	0.2060546875	0
5528460	0.16796875	0
5530220	0.376953125	0
5531980	0.387939453125	0
5533740	0.116943359375	0
5535500	0.18701171875	0
5537260	0.30810546875	0
5539020	0.156982421875	0
5540780	0.047119140625	0
5542540	0.035888671875	0
5544300	0.156982421875	0
5546060	0.2060546875	0
5547820	0.326904296875	0
5549580	0.18701171875	0
5551340	0.30810546875	0
5553100	0.126953125	0
5554860	0.30810546875	0
5556620	0.01708984375	0
5558380	0.447998046875	0
5560140	0.095947265625	0
5561900	0.39599609375	0
5563660	0.376953125	0
5565420	0.30810546875	0
5567180	0.089111328125	0
5568940	0.22900390625	0
5570700	0.076904296875	0
